image_id,domain,split,image_path
n02381460_1000,B (Zebra),test,testB/n02381460_1000.jpg
n02381460_1001,A (Horse),train,trainA/n02381460_1001.jpg
n02381460_1002,A (Horse),train,trainA/n02381460_1002.jpg
n02381460_1003,A (Horse),train,trainA/n02381460_1003.jpg
n02381460_1006,A (Horse),train,trainA/n02381460_1006.jpg
n02381460_1008,A (Horse),train,trainA/n02381460_1008.jpg
n02381460_1009,A (Horse),train,trainA/n02381460_1009.jpg
n02381460_1010,B (Zebra),test,testB/n02381460_1010.jpg
n02381460_1011,A (Horse),train,trainA/n02381460_1011.jpg
n02381460_1014,A (Horse),train,trainA/n02381460_1014.jpg
n02381460_1019,A (Horse),train,trainA/n02381460_1019.jpg
n02381460_102,A (Horse),train,trainA/n02381460_102.jpg
n02381460_1023,A (Horse),train,trainA/n02381460_1023.jpg
n02381460_1025,A (Horse),train,trainA/n02381460_1025.jpg
n02381460_1027,A (Horse),train,trainA/n02381460_1027.jpg
n02381460_1028,A (Horse),train,trainA/n02381460_1028.jpg
n02381460_1030,B (Zebra),test,testB/n02381460_1030.jpg
n02381460_1034,A (Horse),train,trainA/n02381460_1034.jpg
n02381460_1035,A (Horse),train,trainA/n02381460_1035.jpg
n02381460_1037,A (Horse),train,trainA/n02381460_1037.jpg
n02381460_1038,A (Horse),train,trainA/n02381460_1038.jpg
n02381460_1044,A (Horse),train,trainA/n02381460_1044.jpg
n02381460_1045,A (Horse),train,trainA/n02381460_1045.jpg
n02381460_1048,A (Horse),train,trainA/n02381460_1048.jpg
n02381460_105,A (Horse),train,trainA/n02381460_105.jpg
n02381460_1051,A (Horse),train,trainA/n02381460_1051.jpg
n02381460_1052,A (Horse),train,trainA/n02381460_1052.jpg
n02381460_1053,A (Horse),train,trainA/n02381460_1053.jpg
n02381460_1058,A (Horse),train,trainA/n02381460_1058.jpg
n02381460_1063,A (Horse),train,trainA/n02381460_1063.jpg
n02381460_1068,A (Horse),train,trainA/n02381460_1068.jpg
n02381460_1074,A (Horse),train,trainA/n02381460_1074.jpg
n02381460_1075,A (Horse),train,trainA/n02381460_1075.jpg
n02381460_108,A (Horse),train,trainA/n02381460_108.jpg
n02381460_1082,A (Horse),train,trainA/n02381460_1082.jpg
n02381460_1083,A (Horse),train,trainA/n02381460_1083.jpg
n02381460_1084,A (Horse),train,trainA/n02381460_1084.jpg
n02381460_1090,B (Zebra),test,testB/n02381460_1090.jpg
n02381460_1098,A (Horse),train,trainA/n02381460_1098.jpg
n02381460_11,A (Horse),train,trainA/n02381460_11.jpg
n02381460_1100,B (Zebra),test,testB/n02381460_1100.jpg
n02381460_1101,A (Horse),train,trainA/n02381460_1101.jpg
n02381460_1105,A (Horse),train,trainA/n02381460_1105.jpg
n02381460_1106,A (Horse),train,trainA/n02381460_1106.jpg
n02381460_1108,A (Horse),train,trainA/n02381460_1108.jpg
n02381460_1110,B (Zebra),test,testB/n02381460_1110.jpg
n02381460_1120,B (Zebra),test,testB/n02381460_1120.jpg
n02381460_1122,A (Horse),train,trainA/n02381460_1122.jpg
n02381460_1127,A (Horse),train,trainA/n02381460_1127.jpg
n02381460_1132,A (Horse),train,trainA/n02381460_1132.jpg
n02381460_1134,A (Horse),train,trainA/n02381460_1134.jpg
n02381460_1135,A (Horse),train,trainA/n02381460_1135.jpg
n02381460_1144,A (Horse),train,trainA/n02381460_1144.jpg
n02381460_1147,A (Horse),train,trainA/n02381460_1147.jpg
n02381460_1155,A (Horse),train,trainA/n02381460_1155.jpg
n02381460_1158,A (Horse),train,trainA/n02381460_1158.jpg
n02381460_1159,A (Horse),train,trainA/n02381460_1159.jpg
n02381460_1160,B (Zebra),test,testB/n02381460_1160.jpg
n02381460_1168,A (Horse),train,trainA/n02381460_1168.jpg
n02381460_117,A (Horse),train,trainA/n02381460_117.jpg
n02381460_1182,A (Horse),train,trainA/n02381460_1182.jpg
n02381460_1184,A (Horse),train,trainA/n02381460_1184.jpg
n02381460_1191,A (Horse),train,trainA/n02381460_1191.jpg
n02381460_1194,A (Horse),train,trainA/n02381460_1194.jpg
n02381460_1197,A (Horse),train,trainA/n02381460_1197.jpg
n02381460_120,B (Zebra),test,testB/n02381460_120.jpg
n02381460_1204,A (Horse),train,trainA/n02381460_1204.jpg
n02381460_1208,A (Horse),train,trainA/n02381460_1208.jpg
n02381460_1210,B (Zebra),test,testB/n02381460_1210.jpg
n02381460_1212,A (Horse),train,trainA/n02381460_1212.jpg
n02381460_1216,A (Horse),train,trainA/n02381460_1216.jpg
n02381460_122,A (Horse),train,trainA/n02381460_122.jpg
n02381460_1226,A (Horse),train,trainA/n02381460_1226.jpg
n02381460_1227,A (Horse),train,trainA/n02381460_1227.jpg
n02381460_1232,A (Horse),train,trainA/n02381460_1232.jpg
n02381460_1246,A (Horse),train,trainA/n02381460_1246.jpg
n02381460_1247,A (Horse),train,trainA/n02381460_1247.jpg
n02381460_1249,A (Horse),train,trainA/n02381460_1249.jpg
